ID,title,artist,year,gender,points,n,n1,n2,n3,n4,n5,spotify
159,Atrevido,Orishas,2000,male,6,1,0,0,1,0,0,N/A
160,Bonita Applebum,A Tribe Called Quest,1990,male,6,1,0,0,1,0,0,5N5fp1lYSORdZbWanACki9
161,Bout It Bout It,Master P,1996,male,6,1,0,0,1,0,0,362ychdHc0vMXhUE50PuoN
162,Can’t Knock The Hustle,JAY-Z,1996,male,6,1,0,0,1,0,0,05Iawel3maRW3mSHYmXxMZ
163,Cartoons & Cereal,Kendrick Lamar ft. Gunplay,2012,male,6,1,0,0,1,0,0,31Yebmn7gDvxc0yjRV8M5t
164,Children’s Story,Slick Rick,1999,male,6,1,0,0,1,0,0,15HgR9Ht4obJOcMG4wregp
165,Da Art Of Storytellin’,OutKast,1999,male,6,1,0,0,1,0,0,1KQymTxNJfWk6vCD5ywKW2
166,Dr Aden,BOB,2011,male,6,1,0,0,1,0,0,49OUxGo0yTjKf7gx7qV84P
167,Get Money,Junior M.A.F.I.A. ft. The Notorious B.I.G.,1995,male,6,1,0,0,1,0,0,53oWwSxPuyH2cjYKXH8fgO
168,Get The Bozack,EPMD,1989,male,6,1,0,0,1,0,0,70Nz4Fjf3Ia2CBO3CdcSJI
169,God Lives Through,A Tribe Called Quest,1993,male,6,1,0,0,1,0,0,3l30bDO9Kn2XJ9H2azq5PY
170,Hahahaha jk?,Das Racist,2010,male,6,1,0,0,1,0,0,0QNfTRA4IlRfGXO1i4cyfP
171,Hard In Da Paint,Waka Flocka Flame,2009,male,6,1,0,0,1,0,0,3XQY8kDjI8LARMIC9xkxQk
172,I Gave You Power,Nas,1996,male,6,1,0,0,1,0,0,4dSLfdnCy43DPJiqpoZoKe
173,Just A Moment,Nas ft. Quan,2005,male,6,1,0,0,1,0,0,69LI5JYpdxNck1NJc8rqAu
174,Know The Ledge,Eric B & Rakim,1992,male,6,1,0,0,1,0,0,0InwTyum9iasoG9ajmJWg7
175,Learned from Texas,BIG K.R.I.T,2019,male,6,1,0,0,1,0,0,6E1xeGoNLB0XWt5NnHVXvM
176,Livin’ It Up,Ja Rule ft. Case,2001,male,6,1,0,0,1,0,0,52gqeRlrBE7hqMlRxEsi6y
177,Love Is…,Common,2005,male,6,1,0,0,1,0,0,1NrUc0f7QZBYqgjj6ExNMG
178,Lyrics Of Fury,Eric B & Rakim,1988,male,6,1,0,0,1,0,0,6jt8xuXd424y78MrNMNpvS
179,Mask Off,Future,2017,male,6,1,0,0,1,0,0,0VgkVdmE4gld66l8iyGjgx
180,Mass Appeal,Gang Starr,1994,male,6,1,0,0,1,0,0,3lGBvPUgO7MJltUnBlOpe9
181,Mic Check,Aceyalone,1995,male,6,1,0,0,1,0,0,N/A
182,Mo(u)rning,Akua Naru,2012,female,6,1,0,0,1,0,0,08Q4tRu6tlIr7faweTQojP
183,No Church in the Wild,JAY-Z & Kanye West,2011,male,6,1,0,0,1,0,0,3Osd3Yf8K73aj4ySn6LrvK
184,Old Town Road (Remix),Lil Nas X ft. Billy Ray Cyrus,2019,male,6,1,0,0,1,0,0,0F7FA14euOIX8KcbEturGH
185,OVERSEAS,Bohan Phoenix,2018,male,6,1,0,0,1,0,0,0YnBTNxBcCpT9lw0Si2ICs
186,Paper Planes,M.I.A.,2008,female,6,1,0,0,1,0,0,1kusepF3AacIEtUTYrw4GV
187,Peter Piper,Run DMC,1986,male,6,1,0,0,1,0,0,5gsY63Dq5ht0LEvydhj9lA
188,PRIDE,Kendrick Lamar,2017,male,6,1,0,0,1,0,0,6IZvVAP7VPPnsGX6bvgkqg
189,Push It,Salt-N-Pepa,1986,female,6,1,0,0,1,0,0,6sT9MWlJManry3EQwf4V80
190,Put It On,Big L,1995,male,6,1,0,0,1,0,0,6JI5wNWYdBw68GZjOMmgK5
191,Queen Bitch,Lil’ Kim,1996,female,6,1,0,0,1,0,0,1LFqcpp3k7r9nHBH7Lsos4
192,Self Control,Frank Ocean,2016,male,6,1,0,0,1,0,0,5GUYJTQap5F3RDQiCOJhrS
